Player_ID_Full,Role
Curtis Jones_ENG_MF_Liverpool_Premier League_19_2020-2021,Centre Midfielder
Dan Burn_ENG_DF_Brighton_Premier League_28_2020-2021,Centreback
Dani Ceballos_ESP_MF_Arsenal_Premier League_23_2020-2021,Centre Midfielder
Daniel Amartey_GHA_DF_Leicester City_Premier League_25_2020-2021,Centreback
Daniel James_WAL_FW_Manchester Utd_Premier League_22_2020-2021,Winger
Daniel Podence_POR_MFFW_Wolves_Premier League_24_2020-2021,Winger
Danny Ings_ENG_FW_Southampton_Premier League_28_2020-2021,Striker
Danny Welbeck_ENG_FW_Brighton_Premier League_29_2020-2021,Striker
Dara O'Shea_IRL_DF_West Brom_Premier League_21_2020-2021,Centreback
Darnell Furlong_ENG_DF_West Brom_Premier League_24_2020-2021,Fullback
David de Gea_ESP_GK_Manchester Utd_Premier League_29_2020-2021,Goalkeeper
David Luiz_BRA_DF_Arsenal_Premier League_33_2020-2021,Centreback
David McGoldrick_IRL_FWMF_Sheffield Utd_Premier League_32_2020-2021,Striker
Davinson Sánchez_COL_DF_Tottenham_Premier League_24_2020-2021,Centreback
Dean Henderson_ENG_GK_Manchester Utd_Premier League_23_2020-2021,Goalkeeper
DeAndre Yedlin_USA_DF_Newcastle Utd_Premier League_27_2020-2021,Fullback
Declan Rice_ENG_MF_West Ham_Premier League_21_2020-2021,Defensive Midfielder
Dele Alli_ENG_MF_Tottenham_Premier League_24_2020-2021,Attacking Midfielder
Dennis Praet_BEL_MFFW_Leicester City_Premier League_26_2020-2021,Centre Midfielder
Diego Llorente_ESP_DF_Leeds United_Premier League_26_2020-2021,Centreback
Diogo Jota_POR_FW_Liverpool_Premier League_23_2020-2021,Winger
Dominic Calvert-Lewin_ENG_FW_Everton_Premier League_23_2020-2021,Striker
Donny van de Beek_NED_MFFW_Manchester Utd_Premier League_23_2020-2021,Centre Midfielder
Douglas Luiz_BRA_MF_Aston Villa_Premier League_22_2020-2021,Defensive Midfielder
Dwight Gayle_ENG_FWMF_Newcastle Utd_Premier League_29_2020-2021,Striker
Dwight McNeil_ENG_MF_Burnley_Premier League_20_2020-2021,Winger
Eberechi Eze_ENG_MF_Crystal Palace_Premier League_22_2020-2021,Attacking Midfielder
Eddie Nketiah_ENG_FW_Arsenal_Premier League_21_2020-2021,Striker
Ederson_BRA_GK_Manchester City_Premier League_26_2020-2021,Goalkeeper
Edinson Cavani_URU_FW_Manchester Utd_Premier League_33_2020-2021,Striker
Edouard Mendy_SEN_GK_Chelsea_Premier League_28_2020-2021,Goalkeeper
Emil Krafth_SWE_DF_Newcastle Utd_Premier League_25_2020-2021,Fullback
Emile Smith-Rowe_ENG_MFFW_Arsenal_Premier League_20_2020-2021,Attacking Midfielder
Emiliano Martínez_ARG_GK_Aston Villa_Premier League_27_2020-2021,Goalkeeper
Enda Stevens_IRL_DF_Sheffield Utd_Premier League_30_2020-2021,Fullback
Eric Bailly_CIV_DF_Manchester Utd_Premier League_26_2020-2021,Centreback
Eric Dier_ENG_DF_Tottenham_Premier League_26_2020-2021,Centreback
Érik Lamela_ARG_FWMF_Tottenham_Premier League_28_2020-2021,Winger
Erik Pieters_NED_DFMF_Burnley_Premier League_31_2020-2021,Fullback
Ethan Ampadu_WAL_DFMF_Sheffield Utd_Premier League_19_2020-2021,Centreback
Ezgjan Alioski_MKD_DF_Leeds United_Premier League_28_2020-2021,Fullback
Ezri Konsa_ENG_DF_Aston Villa_Premier League_22_2020-2021,Centreback
Fabián Balbuena_PAR_DF_West Ham_Premier League_28_2020-2021,Centreback
Fabian Schär_SUI_DF_Newcastle Utd_Premier League_28_2020-2021,Centreback
Fabinho_BRA_DFMF_Liverpool_Premier League_26_2020-2021,Defensive Midfielder
Fábio Silva_POR_FW_Wolves_Premier League_18_2020-2021,Striker
Federico Fernández_ARG_DF_Newcastle Utd_Premier League_31_2020-2021,Centreback
Fernandinho_BRA_MF_Manchester City_Premier League_35_2020-2021,Defensive Midfielder
Fernando Marçal_BRA_DF_Wolves_Premier League_31_2020-2021,Fullback
Ferrán Torres_ESP_FWMF_Manchester City_Premier League_20_2020-2021,Winger
Filip Krovinović_CRO_MF_West Brom_Premier League_24_2020-2021,Attacking Midfielder
Fraser Forster_ENG_GK_Southampton_Premier League_32_2020-2021,Goalkeeper
Fred_BRA_MF_Manchester Utd_Premier League_27_2020-2021,Centre Midfielder
Gabriel Dos Santos_BRA_DF_Arsenal_Premier League_22_2020-2021,Centreback
Gabriel Jesus_BRA_FW_Manchester City_Premier League_23_2020-2021,Striker
Gareth Bale_WAL_FW_Tottenham_Premier League_31_2020-2021,Winger
Gary Cahill_ENG_DF_Crystal Palace_Premier League_34_2020-2021,Centreback
George Baldock_ENG_DF_Sheffield Utd_Premier League_27_2020-2021,Fullback
Georginio Wijnaldum_NED_MF_Liverpool_Premier League_29_2020-2021,Centre Midfielder
Giovani Lo Celso_ARG_MF_Tottenham_Premier League_24_2020-2021,Centre Midfielder
Grady Diangana_ENG_MFFW_West Brom_Premier League_22_2020-2021,Winger
Granit Xhaka_SUI_MFDF_Arsenal_Premier League_27_2020-2021,Defensive Midfielder
Gylfi Sigurðsson_ISL_MF_Everton_Premier League_30_2020-2021,Attacking Midfielder
Hakim Ziyech_MAR_FWMF_Chelsea_Premier League_27_2020-2021,Attacking Midfielder
Hal Robson-Kanu_WAL_FWMF_West Brom_Premier League_31_2020-2021,Striker
Harrison Reed_ENG_MF_Fulham_Premier League_25_2020-2021,Defensive Midfielder
Harry Kane_ENG_FW_Tottenham_Premier League_27_2020-2021,Striker
Harry Maguire_ENG_DF_Manchester Utd_Premier League_27_2020-2021,Centreback
Harry Winks_ENG_MF_Tottenham_Premier League_24_2020-2021,Centre Midfielder
Harvey Barnes_ENG_FWMF_Leicester City_Premier League_22_2020-2021,Defensive Winger
Héctor Bellerín_ESP_DF_Arsenal_Premier League_25_2020-2021,Fullback
Hélder Costa_POR_MFFW_Leeds United_Premier League_26_2020-2021,Winger
Hugo Lloris_FRA_GK_Tottenham_Premier League_33_2020-2021,Goalkeeper
Ibrahima Diallo_FRA_MF_Southampton_Premier League_21_2020-2021,Defensive Midfielder
İlkay Gündoğan_GER_MF_Manchester City_Premier League_29_2020-2021,Centre Midfielder
Illan Meslier_FRA_GK_Leeds United_Premier League_20_2020-2021,Goalkeeper
Isaac Hayden_ENG_MFDF_Newcastle Utd_Premier League_25_2020-2021,Defensive Midfielder
Issa Diop_FRA_DF_West Ham_Premier League_23_2020-2021,Centreback
Ivan Cavaleiro_POR_FWMF_Fulham_Premier League_26_2020-2021,Winger
Jack Cork_ENG_MF_Burnley_Premier League_31_2020-2021,Defensive Midfielder
Jack Grealish_ENG_FWMF_Aston Villa_Premier League_24_2020-2021,Winger
Jack Harrison_ENG_MF_Leeds United_Premier League_23_2020-2021,Winger
Jack Robinson_ENG_DF_Sheffield Utd_Premier League_26_2020-2021,Fullback
Jack Stephens_ENG_DF_Southampton_Premier League_26_2020-2021,Centreback
Jacob Murphy_ENG_DFMF_Newcastle Utd_Premier League_25_2020-2021,Winger
Jacob Ramsey_ENG_MFFW_Aston Villa_Premier League_19_2020-2021,Attacking Midfielder
